provincia_id;provincia_desc;provincia_superficie_km2;areas_naturales_protegidas_superficie_km2;areas_naturales_protegidas_porcentaje
2;Ciudad Autonoma de Buenos Aires;212;4.07;1.92
6;Buenos Aires;307571;16429.74;5.34
10;Catamarca;102602;23165.46;22.58
14;Cordoba;165321;15634.5;9.34
18;Corrientes;88199;15023.62;17.17
22;Chaco;99633;9384.14;9.42
26;Chubut;224686;58875.25;25.97
30;Entre Rios;78781;6258.02;7.94
34;Formosa;72066;14425.92;20.02
38;Jujuy;53219;21464.29;40.33
42;La Pampa;143440;2079.17;1.45
46;La Rioja;89680;7021.5;7.83
50;Mendoza;148827;22607.9;15.19
54;Misiones;29801;4683.59;15.72
58;Neuquen;94078;11061.05;11.76
62;Rio Negro;203013;46055.58;22.69
66;Salta;155488;27396.57;17.62
70;San Juan;89651;24429.42;27.25
74;San Luis;76748;4261.09;5.55
78;Santa Cruz;243943;19068.32;7.82
82;Santa Fe;133007;10473.1;7.87
86;Santiago del Estero;136351;2211.19;1.62
90;Tucuman;22524;4885.41;21.69
94;Tierra del Fuego;22091;2576.46;11.66
