,nombre,numero rostros
0,foto_rostros_0,1
1,foto_rostros_1,1
2,foto_rostros_2,1
3,foto_rostros_3,1
4,foto_rostros_4,1
5,foto_rostros_5,1
6,foto_rostros_6,1
7,foto_rostros_7,1
8,foto_rostros_8,1
9,foto_rostros_9,1
10,foto_rostros_10,1
11,foto_rostros_11,1
12,foto_rostros_12,1
13,foto_rostros_13,1
14,foto_rostros_14,1
15,foto_rostros_15,1
16,foto_rostros_16,1
17,foto_rostros_17,1
18,foto_rostros_18,1
19,foto_rostros_19,1
20,foto_rostros_20,1
21,foto_rostros_21,1
22,foto_rostros_22,2
23,foto_rostros_23,1
24,foto_rostros_24,1
25,foto_rostros_25,1
26,foto_rostros_26,1
27,foto_rostros_27,1
28,foto_rostros_28,1
29,foto_rostros_29,2
30,foto_rostros_30,1
31,foto_rostros_31,1
32,foto_rostros_32,1
33,foto_rostros_33,1
34,foto_rostros_34,1
35,foto_rostros_35,1
36,foto_rostros_36,1
37,foto_rostros_37,1
38,foto_rostros_38,1
39,foto_rostros_39,1
40,foto_rostros_40,1
41,foto_rostros_41,1
42,foto_rostros_42,1
43,foto_rostros_43,1
44,foto_rostros_44,1
45,foto_rostros_45,1
46,foto_rostros_46,1
47,foto_rostros_47,1
48,foto_rostros_48,1
49,foto_rostros_49,1
50,foto_rostros_50,1
51,foto_rostros_51,1
52,foto_rostros_52,1
53,foto_rostros_53,1
54,foto_rostros_54,1
55,foto_rostros_55,1
56,foto_rostros_56,2
57,foto_rostros_57,1
58,foto_rostros_58,1
59,foto_rostros_59,1
60,foto_rostros_60,1
61,foto_rostros_61,1
62,foto_rostros_62,1
63,foto_rostros_63,1
64,foto_rostros_64,1
65,foto_rostros_65,1
66,foto_rostros_66,2
67,foto_rostros_67,1
68,foto_rostros_68,1
69,foto_rostros_69,1
70,foto_rostros_70,1
71,foto_rostros_71,1
72,foto_rostros_72,1
73,foto_rostros_73,1
74,foto_rostros_74,1
75,foto_rostros_75,1
76,foto_rostros_76,1
77,foto_rostros_77,1
78,foto_rostros_78,1
79,foto_rostros_79,1
80,foto_rostros_80,1
81,foto_rostros_81,1
82,foto_rostros_82,1
83,foto_rostros_83,1
84,foto_rostros_84,1
85,foto_rostros_85,1
86,foto_rostros_86,1
87,foto_rostros_87,1
88,foto_rostros_88,1
89,foto_rostros_89,1
90,foto_rostros_90,1
91,foto_rostros_91,1
92,foto_rostros_92,1
93,foto_rostros_93,1
94,foto_rostros_94,1
95,foto_rostros_95,1
96,foto_rostros_96,1
97,foto_rostros_97,1
98,foto_rostros_98,1
99,foto_rostros_99,1
100,foto_rostros_100,1
